serviceAreaCode,serviceAreaName
A00001,서울만남(부산)휴게소
A00002,죽전(서울)휴게소
A00003,기흥(부산)휴게소
A00004,안성(서울)휴게소
A00005,안성(부산)휴게소
A00006,하남드림휴게소
A00008,이천(남이)휴게소
A00010,용인(강릉)휴게소
A00012,여주(강릉)휴게소
A00014,화성(서울)휴게소
A00015,화성(목포)휴게소
A00019,횡성(강릉)휴게소
A00024,문막(강릉)휴게소
A00025,동해(삼척)휴게소
A00028,치악(부산)휴게소
A00030,망향(부산)휴게소
A00032,옥산(부산)휴게소
A00033,천안삼거리(서울)휴게소
A00034,천안호두(부산)휴게소
A00035,죽암(서울)휴게소
A00036,죽암(부산)휴게소
A00037,금강(부산)휴게소
A00039,오창(남이)휴게소
A00041,음성(남이)휴게소
A00042,벌곡(대전)휴게소
A00043,벌곡(논산)휴게소
A00047,옥천(서울)휴게소
A00048,황간(서울)휴게소
A00049,황간(부산)휴게소
A00050,입장거봉포도(서울)휴게소
A00054,섬진강(부산)휴게소
A00058,지리산(대구)휴게소
A00059,지리산(광주)휴게소
A00067,추풍령(서울)휴게소
A00068,추풍령(부산)휴게소
A00069,칠곡(서울)휴게소
A00070,경산(서울)휴게소
A00071,평사(부산)휴게소
A00072,칠곡(부산)휴게소
A00073,거창(대구)휴게소
A00074,거창(광주)휴게소
A00077,건천(서울)휴게소
A00078,건천(부산)휴게소
A00079,안동(부산)휴게소
A00081,군위(부산)휴게소
A00083,장유(서부산)휴게소
A00085,진영(부산)휴게소
A00086,언양(서울)휴게소
A00088,언양(부산)휴게소
A00089,현풍(대구)휴게소
A00097,사천(부산)휴게소
A00098,산청(대전)휴게소
A00101,평창(강릉)휴게소
A00102,신탄진(서울)휴게소
A00103,옥천(부산)휴게소
A00104,금산인삼랜드(대전)휴게소
A00107,경주(부산)휴게소
A00109,대천(목포)휴게소
A00111,강릉(강릉)휴게소
A00112,단양팔경(부산)휴게소
A00114,덕유산(대전)휴게소
A00117,서산(목포)휴게소
A00119,군산(목포)휴게소
A00123,고창고인돌(목포)휴게소
A00124,함평천지(목포)휴게소
A00129,함양(하남)휴게소
A00131,춘천(부산)휴게소
A00134,동명(부산)휴게소
A00137,구정(삼척)휴게소
A00139,홍성(목포)휴게소
A00141,영천(대구)휴게소
A00142,청통(대구)휴게소
A00148,원주(부산)휴게소
A00151,서천(목포)휴게소
A00152,고성공룡나라(대전)휴게소
A00155,함평나비(광주)휴게소
A00156,함평나비(무안)휴게소
A00170,공주(대전)휴게소
A00171,공주(당진)휴게소
A00173,부여백제(서천)휴게소
A00174,예산(대전)휴게소
A00175,예산(당진)휴게소
A00184,김천(부산)휴게소
A00185,진주(부산)휴게소
A00186,함안(부산)휴게소
A00223,논공(고서)휴게소
A00226,논공(옥포)휴게소
A00227,옥천만남의광장휴게소
A00237,강천산(대구)휴게소
A00238,강천산(광주)휴게소
A00247,외동(부산)휴게소
A00264,낙동강의성(영천)휴게소
A00265,낙동강구미(상주)휴게소
A00267,삼국유사군위(상주)휴게소
A00268,시흥하늘휴게소
A00269,선기(부산)졸음쉼터
A00299,평택휴게소
A00300,장흥정남진휴게소
A00306,부안고려청자(목포)휴게소
