휴게소명    ,차종,시간대,DSRC전체교통량,DSRC휴게소교통량,휴게소이용비율,링크통행량,휴게소통행량,평균체류시간
만남의광장,1,1,564,40,7,4101.51,291,473.06
만남의광장,1,2,333,30,9,2037.32,184,566.2
만남의광장,1,3,241,24,10,1265.69,126,508.64
만남의광장,1,4,186,25,13,957.82,129,365.19
만남의광장,1,5,330,28,8,1528.64,130,666.71
만남의광장,1,6,1140,70,6,4547.33,279,737.19
만남의광장,1,7,1643,114,7,7022.56,487,813.63
만남의광장,1,8,1476,123,8,7415.18,618,1277.98
만남의광장,1,9,1440,101,7,7267.85,510,1289.51
만남의광장,1,10,1443,118,8,7240.15,592,1396.21
만남의광장,1,11,1718,160,9,8245.03,768,1339.84
만남의광장,1,12,1586,163,10,7510.15,772,1594.75
만남의광장,1,13,1345,137,10,6561.02,668,1451.4
만남의광장,1,14,1172,129,11,5668.61,624,1473.86
만남의광장,1,15,1333,132,10,6552.98,649,1348.52
만남의광장,1,16,1328,133,10,6624.29,663,1105.02
만남의광장,1,17,1403,145,10,6687.42,691,1004.51
만남의광장,1,18,1352,99,7,7489.28,548,955.51
만남의광장,1,19,1065,88,8,7411.44,612,1073.48
만남의광장,1,20,1096,124,11,7174.87,812,1144.82
만남의광장,1,21,1277,98,8,6121.29,470,876.76
만남의광장,1,22,1339,98,7,6328.62,463,502.87
만남의광장,1,23,1310,90,7,6420.25,441,448.2
만남의광장,1,24,911,61,7,4663.82,312,338.86
만남의광장,2,1,34,0,0,192.03,0,0
만남의광장,2,2,9,0,0,50.38,0,0
만남의광장,2,3,14,1,7,46.22,3,296.4
만남의광장,2,4,18,2,11,66.2,7,262.6
만남의광장,2,5,23,0,0,77.6,0,0
만남의광장,2,6,43,2,5,167.25,8,492
만남의광장,2,7,147,3,2,653.93,13,1368.47
만남의광장,2,8,175,1,1,950.94,5,1280.4
만남의광장,2,9,138,4,3,1031.02,30,6915.55
만남의광장,2,10,129,2,2,951.43,15,5556
만남의광장,2,11,60,0,0,647.9,0,0
만남의광장,2,12,46,1,2,684.01,15,3172.6
만남의광장,2,13,42,2,5,640.36,30,224.9
만남의광장,2,14,48,0,0,650.93,0,0
만남의광장,2,15,58,1,2,690.27,12,216
만남의광장,2,16,73,1,1,754.25,10,1626.8
만남의광장,2,17,72,0,0,721.74,0,0
만남의광장,2,18,66,1,2,717.11,11,1238
만남의광장,2,19,47,1,2,677.02,14,10
만남의광장,2,20,41,1,2,718.65,18,8.8
만남의광장,2,21,45,2,4,734.35,33,234.4
만남의광장,2,22,27,5,19,428.61,79,23.88
만남의광장,2,23,17,0,0,341.81,0,0
만남의광장,2,24,16,0,0,219.37,0,0
만남의광장,3,1,45,1,2,251.54,6,218.6
만남의광장,3,2,42,0,0,184.28,0,0
만남의광장,3,3,43,1,2,143.88,3,3296.4
만남의광장,3,4,40,4,10,140.49,14,359.6
만남의광장,3,5,56,3,5,208.18,11,262.53
만남의광장,3,6,64,5,8,222.04,17,633.16
만남의광장,3,7,54,8,15,255.3,38,807.7
만남의광장,3,8,28,0,0,130.17,0,0
만남의광장,3,9,33,3,9,169.8,15,4282.2
만남의광장,3,10,26,1,4,136.34,5,6937.6
만남의광장,3,11,27,1,4,128.01,5,299.8
만남의광장,3,12,43,1,2,186.08,4,2235
만남의광장,3,13,41,2,5,152.31,7,1720.7
만남의광장,3,14,23,1,4,123.28,5,349.6
만남의광장,3,15,20,0,0,119.17,0,0
만남의광장,3,16,20,0,0,95.33,0,0
만남의광장,3,17,14,0,0,89.07,0,0
만남의광장,3,18,16,0,0,71.58,0,0
만남의광장,3,19,7,0,0,57.92,0,0
만남의광장,3,20,8,0,0,64.41,0,0
만남의광장,3,21,46,3,7,160.43,10,942.87
