direction,svarAddr,routeName,telNo,serviceAreaCode,serviceAreaName,routeCode,serviceAreaCode2,maintenanceYn,truckSaYn
부산,서울 서초구 원지동 10-16,경부선,02-578-3372,A00001,서울만남(부산)휴게소,10,1,0,0
서울,경기 용인시 죽전2동 866-2 ,경부선,031-262-3168,A00002,죽전(서울)휴게소,10,3,0,0
부산,경기 용인시 기흥구 공세로 173 기흥휴게소,경부선,031-286-5001,A00003,기흥(부산)휴게소,10,5,0,0
서울,경기 안성시 원곡면 산하리 경부고속도로 372,경부선,031-611-5793,A00004,안성(서울)휴게소,10,7,0,1
부산,경기 안성시 원곡면 경부고속도로 365,경부선,031-655-0531,A00005,안성(부산)휴게소,10,9,0,0
NA,경기 하남시 중부고속도로 117,중부선,031-791-4200,A00006,하남드림휴게소,352,139,0,0
하남,경기 이천시 신둔면 서이천로853번길 346-129,중부선,031-638-1117,A00007,이천(하남)휴게소,352,141,0,0
남이,경기 이천시 마장면 목리 142,중부선,031-637-0987,A00008,이천(남이)휴게소,352,144,0,0
인천,경기도 용인시 고림동89번지,영동선,031-339-3660,A00009,용인(인천)휴게소,500,208,0,0
강릉,경기도 용인시 고림동9번지,영동선,031-339-3663,A00010,용인(강릉)휴게소,500,207,0,0
인천,경기도 여주시 가남읍 화평길 116,영동선,031-882-2900,A00011,여주(인천)휴게소,500,204,0,0
강릉,경기 여주군 가남면 본두리 687-1,영동선,031-882-3120,A00012,여주(강릉)휴게소,500,203,0,1
인천,강원 원주시 문막읍 개나루길 13,영동선,033-734-7471,A00013,문막(인천)휴게소,500,199,0,0
서울,경기도 화성군 팔탄면 덕천리 102-3,서해안선,031-353-8143,A00014,화성(서울)휴게소,150,92,0,0
목포,경기도 화성군 팔탄면 덕천리 102-1,서해안선,031-353-8140,A00015,화성(목포)휴게소,150,93,0,0
창원,경남 창녕군 영산면 신제리 1471-1,중부내륙선,055-521-2978,A00016,영산(창원)휴게소,450,177,0,1
인천,강원 횡성군 안흥면 봉화로 소사5길 29,영동선,033-342-4200,A00018,횡성(인천)휴게소,500,195,0,0
강릉,강원도 횡성군 안흥면 영동고속도로 154,영동선,033-342-4231,A00019,횡성(강릉)휴게소,500,194,0,0
강릉,강원 원주시 문막읍 원문로 1234,영동선,033-731-8481,A00024,문막(강릉)휴게소,500,201,0,0
삼척,강원도 동해시 망상동 산5-1,동해선,033-534-6631,A00025,동해(삼척)휴게소,650,233,0,0
춘천,강원도 홍천군 북방면 소매곡리 294,중앙선,033-435-1201,A00027,홍천강(춘천)휴게소,550,213,0,0
부산,강원 원주시 신림면 치악로 416,중앙선,033-762-9234,A00028,치악(부산)휴게소,550,217,0,0
춘천,강원도 원주시 신림면 금창리 500-55,중앙선,033-762-8030,A00029,치악(춘천)휴게소,550,218,0,0
부산,충남 천안시 성거읍 요방리 121,경부선,041-557-4000,A00030,망향(부산)휴게소,10,13,1,0
부산,충북 청원군 옥산면 오산리 589-15,경부선,043-260-1053,A00032,옥산(부산)휴게소,10,21,1,1
서울,충남 천안시 구성동171,경부선,041-551-2480,A00033,천안삼거리(서울)휴게소,10,15,0,0
부산,충남 천안시 수신면 신풍리 447-3,경부선,041-552-4560,A00034,천안호두(부산)휴게소,10,17,0,0
서울,충북 청원군 현도면 죽전리 314,경부선,043-260-8035,A00035,죽암(서울)휴게소,10,24,1,0
부산,충북 청주시 서원구 현도면 경부고속도로 289,경부선,043-269-0850,A00036,죽암(부산)휴게소,10,26,0,0
부산,충북 옥천군 동이면 조령리 568,경부선,043-731-2233,A00037,금강(부산)휴게소,10,34,1,0
하남,충북 청원군 오창면 화산리 396-10,중부선,043-217-8303,A00038,오창(하남)휴게소,352,149,0,0
남이,충북 청원군 오창면 화산리 395-15,중부선,043-217-1477,A00039,오창(남이)휴게소,352,150,0,0
