"","sta.nm","Vehicle.types","hh","day","dur.v.use.sta","rank"
"1","강릉휴게소(강릉)","승용차","0시","수",0,169.5
"2","강릉휴게소(강릉)","승용차","0시","목",9.7,1090
"3","강릉휴게소(강릉)","승용차","0시","토",3.47666666666667,247
"4","강릉휴게소(강릉)","승용차","1시","수",0,169.5
"5","강릉휴게소(강릉)","승용차","1시","목",13.6315,1970
"6","강릉휴게소(강릉)","승용차","1시","토",6.96666666666667,529
"7","강릉휴게소(강릉)","승용차","2시","수",87.4898333333333,4410
"8","강릉휴게소(강릉)","승용차","2시","목",0,112
"9","강릉휴게소(강릉)","승용차","2시","토",3.99116666666667,278
"10","강릉휴게소(강릉)","승용차","3시","수",6.52316666666667,826
"11","강릉휴게소(강릉)","승용차","3시","목",21.4231666666667,3544
"12","강릉휴게소(강릉)","승용차","3시","토",0,63.5
"13","강릉휴게소(강릉)","승용차","4시","수",0,169.5
"14","강릉휴게소(강릉)","승용차","4시","목",19.6731666666667,3315
"15","강릉휴게소(강릉)","승용차","4시","토",23.5398333333333,3852
"16","강릉휴게소(강릉)","승용차","5시","수",0,169.5
"17","강릉휴게소(강릉)","승용차","5시","목",0,112
"18","강릉휴게소(강릉)","승용차","5시","토",80.0755,4365
"19","강릉휴게소(강릉)","승용차","6시","수",73.0565,4380
"20","강릉휴게소(강릉)","승용차","6시","목",0,112
"21","강릉휴게소(강릉)","승용차","6시","토",12.4056666666667,1437
"22","강릉휴게소(강릉)","승용차","7시","수",52.4743333333333,4307
"23","강릉휴게소(강릉)","승용차","7시","목",23.2065,3713
"24","강릉휴게소(강릉)","승용차","7시","토",32.0413333333333,4153
"25","강릉휴게소(강릉)","승용차","8시","수",37.2433333333333,4206
"26","강릉휴게소(강릉)","승용차","8시","목",19.9291666666667,3357
"27","강릉휴게소(강릉)","승용차","8시","토",18.5705,3126
"28","강릉휴게소(강릉)","승용차","9시","수",37.2461666666667,4207
"29","강릉휴게소(강릉)","승용차","9시","목",93.6386666666667,4411
"30","강릉휴게소(강릉)","승용차","9시","토",29.8823333333333,4106
"31","강릉휴게소(강릉)","승용차","10시","수",23.1388333333333,3717
"32","강릉휴게소(강릉)","승용차","10시","목",77.3605,4383
"33","강릉휴게소(강릉)","승용차","10시","토",24.6176666666667,3922
"34","강릉휴게소(강릉)","승용차","11시","수",65.7705,4365
"35","강릉휴게소(강릉)","승용차","11시","목",24.0213333333333,3794
"36","강릉휴게소(강릉)","승용차","11시","토",15.3305,2250
"37","강릉휴게소(강릉)","승용차","12시","수",11.2791666666667,1572
"38","강릉휴게소(강릉)","승용차","12시","목",67.7585,4356
"39","강릉휴게소(강릉)","승용차","12시","토",34.9095,4193
"40","강릉휴게소(강릉)","승용차","13시","수",58.9353333333333,4341
"41","강릉휴게소(강릉)","승용차","13시","목",73.8091666666667,4370
"42","강릉휴게소(강릉)","승용차","13시","토",39.2091666666667,4240
"43","강릉휴게소(강릉)","승용차","14시","수",19.2226666666667,3253
"44","강릉휴게소(강릉)","승용차","14시","목",19.7421666666667,3332
"45","강릉휴게소(강릉)","승용차","14시","토",30.1501666666667,4117
"46","강릉휴게소(강릉)","승용차","15시","수",41.7133333333333,4254
"47","강릉휴게소(강릉)","승용차","15시","목",59.4615,4332
"48","강릉휴게소(강릉)","승용차","15시","토",42.091,4261
"49","강릉휴게소(강릉)","승용차","16시","수",35.0388333333333,4180
"50","강릉휴게소(강릉)","승용차","16시","목",24.1691666666667,3808
"51","강릉휴게소(강릉)","승용차","16시","토",24.4541666666667,3913
"52","강릉휴게소(강릉)","승용차","17시","수",39.0418333333333,4224
"53","강릉휴게소(강릉)","승용차","17시","목",5.53633333333333,562
"54","강릉휴게소(강릉)","승용차","17시","토",19.9241666666667,3400
"55","강릉휴게소(강릉)","승용차","18시","수",35.7811666666667,4188
"56","강릉휴게소(강릉)","승용차","18시","목",38.0646666666667,4211
"57","강릉휴게소(강릉)","승용차","18시","토",38.4315,4231
"58","강릉휴게소(강릉)","승용차","19시","수",10.8208333333333,1493
"59","강릉휴게소(강릉)","승용차","19시","목",35.4571666666667,4183
"60","강릉휴게소(강릉)","승용차","19시","토",20.6413333333333,3528
"61","강릉휴게소(강릉)","승용차","20시","수",68.7303333333333,4374
"62","강릉휴게소(강릉)","승용차","20시","목",36.3925,4193
