휴게소명    ,차종,시간대,DSRC전체교통량,DSRC휴게소교통량,휴게소이용비율,링크통행량,휴게소통행량,평균체류시간
만남의광장,1,1,1118,92,8,5021.83,413,1389.68
만남의광장,1,2,811,74,9,2858.3,261,684.23
만남의광장,1,3,537,46,9,1885.95,162,572.17
만남의광장,1,4,472,50,11,1667.66,177,998.41
만남의광장,1,5,779,61,8,2280.3,179,537.02
만남의광장,1,6,2137,135,6,5658.03,357,819.52
만남의광장,1,7,2620,167,6,7558.5,482,969.62
만남의광장,1,8,2064,184,9,6418.96,572,888.02
만남의광장,1,9,2141,239,11,6521.48,728,956.82
만남의광장,1,10,2310,210,9,6863.9,624,1172.64
만남의광장,1,11,2103,201,10,7013.96,670,1595.3
만남의광장,1,12,1862,214,11,6412.13,737,1507.23
만남의광장,1,13,1964,200,10,6388.99,651,1440.88
만남의광장,1,14,1941,240,12,6724.23,831,1694.77
만남의광장,1,15,1815,225,12,5981.13,741,1363.27
만남의광장,1,16,2059,256,12,6896.84,857,985.71
만남의광장,1,17,1952,219,11,6747.18,757,982.63
만남의광장,1,18,1888,233,12,6766.29,835,1367.3
만남의광장,1,19,1863,225,12,7280.7,879,1101.93
만남의광장,1,20,2010,225,11,7164.78,802,952.63
만남의광장,1,21,2033,216,11,6490.83,690,1080.31
만남의광장,1,22,2361,218,9,6989.28,645,836.06
만남의광장,1,23,2226,196,9,6726.34,592,631.19
만남의광장,1,24,1270,82,6,3971.72,256,394.77
만남의광장,2,1,50,0,0,249.61,0,0
만남의광장,2,2,16,2,13,55.89,7,405.6
만남의광장,2,3,17,2,12,33.05,4,469.9
만남의광장,2,4,22,0,0,51.76,0,0
만남의광장,2,5,29,2,7,76.21,5,714.4
만남의광장,2,6,57,6,11,168.52,18,3081.2
만남의광장,2,7,124,3,2,528.38,13,7137.47
만남의광장,2,8,264,3,1,1147.39,13,478.93
만남의광장,2,9,211,4,2,1095.78,21,1774.35
만남의광장,2,10,137,1,1,838.67,6,8745
만남의광장,2,11,68,1,1,653.61,10,2374
만남의광장,2,12,45,3,7,640.05,43,5280.2
만남의광장,2,13,64,2,3,626.39,20,5.2
만남의광장,2,14,57,0,0,596.01,0,0
만남의광장,2,15,63,2,3,700.38,22,450.6
만남의광장,2,16,87,0,0,759.86,0,0
만남의광장,2,17,86,2,2,689.61,16,1222.6
만남의광장,2,18,78,3,4,761.9,29,505.13
만남의광장,2,19,78,1,1,741.83,10,2.6
만남의광장,2,20,77,2,3,853.72,22,812.7
만남의광장,2,21,36,2,6,583.04,32,318.9
만남의광장,2,22,20,1,5,464.85,23,2972
만남의광장,2,23,19,0,0,473.46,0,0
만남의광장,2,24,20,0,0,228.37,0,0
만남의광장,3,1,60,8,13,244.79,33,5029.82
만남의광장,3,2,37,2,5,130.53,7,211.4
만남의광장,3,3,46,3,7,129.02,8,677.8
만남의광장,3,4,34,1,3,113.96,3,5109.8
만남의광장,3,5,69,1,1,179.37,3,1701
만남의광장,3,6,82,4,5,225.96,11,1076.45
만남의광장,3,7,61,2,3,197.28,6,1379.9
만남의광장,3,8,58,0,0,193.05,0,0
만남의광장,3,9,60,3,5,198.51,10,1417.2
만남의광장,3,10,42,1,2,115.5,3,313.6
만남의광장,3,11,26,1,4,85.42,3,195.4
만남의광장,3,12,20,2,10,62.8,6,3005.3
만남의광장,3,13,19,1,5,63.5,3,5912.4
만남의광장,3,14,15,2,13,44.03,6,1556.4
만남의광장,3,15,14,2,14,45.21,6,1666.6
만남의광장,3,16,12,1,8,48.23,4,539.6
만남의광장,3,17,8,0,0,38.99,0,0
만남의광장,3,18,10,2,20,53.8,11,239.12
만남의광장,3,19,5,1,20,20.3,4,1906.48
만남의광장,3,20,8,1,13,36.26,5,151.66
만남의광장,3,21,10,1,10,47.39,5,2462.09
만남의광장,3,22,20,0,0,56.07,0,0
만남의광장,3,23,9,3,33,41.07,14,816.93
만남의광장,3,24,6,0,0,23.96,0,0
죽전휴게소,1,1,685,93,14,1412.98,192,1146
죽전휴게소,1,2,400,61,15,1303.99,199,1123.72
죽전휴게소,1,3,237,35,15,876.34,129,930.25
죽전휴게소,1,4,190,19,10,704.6,70,1395.95
죽전휴게소,1,5,279,38,14,849.71,116,1182.01
죽전휴게소,1,6,566,61,11,1866.98,201,1070.42
죽전휴게소,1,7,975,136,14,2921.66,408,966.99
죽전휴게소,1,8,1755,221,13,3872.97,488,964.88
죽전휴게소,1,9,2451,257,10,5053.45,530,867.67
죽전휴게소,1,10,2383,267,11,4712.02,528,1027.76
죽전휴게소,1,11,2411,331,14,4778,656,1025.06
죽전휴게소,1,12,2436,353,14,5082.05,736,927.09
죽전휴게소,1,13,2492,356,14,5196.32,742,1006.6
죽전휴게소,1,14,2477,361,15,4967.34,724,1021.29
죽전휴게소,1,15,2635,346,13,5393.61,708,941.72
죽전휴게소,1,16,2837,350,12,5898.27,728,893.05
죽전휴게소,1,17,2751,349,13,5908.36,750,977.68
죽전휴게소,1,18,2751,307,11,6017.82,672,845.39
죽전휴게소,1,19,2430,294,12,5122.65,620,1154.29
죽전휴게소,1,20,2407,305,13,4857.81,616,1164.34
죽전휴게소,1,21,2398,267,11,5037.62,561,986.9
죽전휴게소,1,22,2392,242,10,5614.82,568,692.7
죽전휴게소,1,23,1654,184,11,4751.93,529,667.89
죽전휴게소,1,24,986,90,9,3224.76,294,466.01
죽전휴게소,2,1,27,2,7,42.56,3,3886.8
죽전휴게소,2,2,33,1,3,60.71,2,5252.8
죽전휴게소,2,3,21,2,10,52.88,5,3940
죽전휴게소,2,4,27,1,4,69.23,3,14134.2
죽전휴게소,2,5,46,3,7,94.75,6,3720.33
죽전휴게소,2,6,70,10,14,201.12,29,2452.72
죽전휴게소,2,7,113,10,9,340.33,30,1647.82
죽전휴게소,2,8,112,5,4,402.52,18,911.64
죽전휴게소,2,9,114,5,4,458.54,20,1043.44
죽전휴게소,2,10,134,6,4,557.37,25,1227.4
죽전휴게소,2,11,179,10,6,642.08,36,1419.34
죽전휴게소,2,12,170,26,15,615.41,94,1189.22
죽전휴게소,2,13,183,11,6,629.5,38,3216.67
죽전휴게소,2,14,154,2,1,516.47,7,7284.3
죽전휴게소,2,15,126,7,6,463.46,26,984.14
죽전휴게소,2,16,128,6,5,526.29,25,787.7
