No,direction,svarAddr,routeName,telNo,serviceAreaCode,serviceAreaName,routeCode,serviceAreaCode2,maintenanceYn,truckSaYn,경도,위도,상태
1,부산,서울 서초구 원지동 10-16,경부선,02-578-3372,A00001,서울만남(부산)휴게소,10,1,0,0,127.042145194495,37.4600748067979,정좌표
2,서울,경기 용인시 죽전2동 866-2 ,경부선,031-262-3168,A00002,죽전(서울)휴게소,10,3,0,0,127.104585204108,37.3325324821078,정좌표
3,부산,경기 용인시 기흥구 공세로 173 기흥휴게소,경부선,031-286-5001,A00003,기흥(부산)휴게소,10,5,0,0,127.104245506389,37.2353286422602,정좌표
4,서울,경기 안성시 원곡면 산하리 경부고속도로 372,경부선,031-611-5793,A00004,안성(서울)휴게소,10,7,0,1,127.132497747613,37.076773052508,정좌표
5,부산,경기 안성시 원곡면 경부고속도로 365,경부선,031-655-0531,A00005,안성(부산)휴게소,10,9,0,0,127.144715504333,37.0135816348542,정좌표
6,NA,경기 하남시 중부고속도로 117,중부선,031-791-4200,A00006,하남드림휴게소,352,139,0,0,127.206509470365,37.5303148609318,정좌표
7,하남,경기 이천시 신둔면 서이천로853번길 346-129,중부선,031-638-1117,A00007,이천(하남)휴게소,352,141,0,0,127.378695683893,37.2943341226835,정좌표
8,남이,경기 이천시 마장면 목리 142,중부선,031-637-0987,A00008,이천(남이)휴게소,352,144,0,0,127.403824145041,37.2646053004628,정좌표
9,인천,경기도 용인시 고림동89번지,영동선,031-339-3660,A00009,용인(인천)휴게소,500,208,0,0,127.236625251294,37.2481832402287,정좌표
10,강릉,경기도 용인시 고림동9번지,영동선,031-339-3663,A00010,용인(강릉)휴게소,500,207,0,0,127.24084757242,37.2464379640864,정좌표
11,인천,경기도 여주시 가남읍 화평길 116,영동선,031-882-2900,A00011,여주(인천)휴게소,500,204,0,0,127.568792544405,37.239737804011,정좌표
12,강릉,경기 여주군 가남면 본두리 687-1,영동선,031-882-3120,A00012,여주(강릉)휴게소,500,203,0,1,127.569544757919,37.2381705756948,인근좌표
13,인천,강원 원주시 문막읍 개나루길 13,영동선,033-734-7471,A00013,문막(인천)휴게소,500,199,0,0,127.817022900479,37.2974004406718,정좌표
14,서울,경기도 화성군 팔탄면 덕천리 102-3,서해안선,031-353-8143,A00014,화성(서울)휴게소,150,92,0,0,126.870937164887,37.1488838593654,인근좌표
15,목포,경기도 화성군 팔탄면 덕천리 102-1,서해안선,031-353-8140,A00015,화성(목포)휴게소,150,93,0,0,126.870937164887,37.1488838593654,인근좌표
16,창원,경남 창녕군 영산면 신제리 1471-1,중부내륙선,055-521-2978,A00016,영산(창원)휴게소,450,177,0,1,128.497131852946,35.4295829879111,인근좌표
17,인천,강원 횡성군 안흥면 봉화로 소사5길 29,영동선,033-342-4200,A00018,횡성(인천)휴게소,500,195,0,0,128.132686418771,37.4664624673214,인근좌표
18,강릉,강원도 횡성군 안흥면 영동고속도로 154,영동선,033-342-4231,A00019,횡성(강릉)휴게소,500,194,0,0,128.135912724803,37.4635326825568,정좌표
19,강릉,강원 원주시 문막읍 원문로 1234,영동선,033-731-8481,A00024,문막(강릉)휴게소,500,201,0,0,127.858205506795,37.3352224728019,정좌표
20,삼척,강원도 동해시 망상동 산5-1,동해선,033-534-6631,A00025,동해(삼척)휴게소,650,233,0,0,129.073047229719,37.601975177426,정좌표
21,춘천,강원도 홍천군 북방면 소매곡리 294,중앙선,033-435-1201,A00027,홍천강(춘천)휴게소,550,213,0,0,127.827655572039,37.7125119923013,정좌표
22,부산,강원 원주시 신림면 치악로 416,중앙선,033-762-9234,A00028,치악(부산)휴게소,550,217,0,0,128.048224633412,37.2541370033175,정좌표
